geneID	epidermis	cortex	columella	stelle	endodermis
AT4G17914	0.0	0.0	0.0291591	0.0685683	0.05432525
AT4G17915	0.417504	1.01331	0.644083	1.96605	0.9367155
AT4G17920	0.0281502	0.10676500000000001	0.08123989999999999	0.0	0.09263400000000001
AT4G17930	0.0	0.0	0.0	0.0	0.0
AT4G17940	85.2789	32.5597	306.501	16.0061	22.3795
AT4G17950	16.7019	24.1858	34.83	46.7877	32.01975
AT4G17960	5.9753	15.2276	6.0633099999999995	14.2194	10.1732
AT4G17970	0.11605	2.21748	0.186668	0.669295	17.771455
AT4G17975	0.0	0.0	0.0	0.0	0.0
AT4G17980	0.01923	0.028530299999999998	0.218721	0.08808969999999999	0.7178806
AT4G17990	0.0	0.0	0.0	0.0	0.0
AT4G17998	0.0	0.0	0.0	0.0	0.0
AT4G18000	0.0	0.0	0.0	0.0	0.0
AT4G18010	2.41797	2.42503	10.234	1.82263	6.030637
AT4G18020	1.04408	34.8869	1.19672	1.5447600000000001	6.25502
AT4G18030	70.5849	175.05599999999998	87.9865	101.46799999999999	83.53575000000001
AT4G18040	48.4024	70.007	53.7879	102.292	68.61045
AT4G18050	0.157288	0.37737	5.207380000000001	1.37784	0.62539695
AT4G18060	20.5853	46.9887	23.0962	28.2643	31.99055
AT4G18070	82.1669	74.3601	51.8577	41.7028	70.03215
AT4G18080	0.284879	0.47129099999999996	0.5314	0.0868433	0.2657025
AT4G18090	0.133888	0.37665	0.34248	0.10591500000000001	0.27671500000000004
AT4G18100	441.69	883.2669999999999	282.237	1463.1	807.4955
AT4G18110	0.666407	0.11946400000000001	0.23547300000000002	0.0172155	0.22396955000000002
AT4G18120	11.3567	7.47772	15.0388	10.4427	9.33998
AT4G18130	7.27158	5.5354	13.1037	7.62338	6.052215
AT4G18140	20.609	6.7683	17.6722	5.12283	11.840275
AT4G18150	0.0	0.0	0.0	0.0	0.0
AT4G18160	51.8028	30.0148	26.1719	9.49871	38.14175
AT4G18170	0.458571	0.293591	4.37525	0.184998	1.5884850000000001
AT4G18180	0.0115818	0.0	0.0	0.0	0.0
AT4G18190	0.0110099	0.0	0.0139036	0.0320806	0.0129431
AT4G18195	0.08174110000000001	0.109428	0.320427	0.217396	0.0930195
AT4G18197	0.0415196	0.193355	0.102315	0.0599073	0.022045000000000002
AT4G18205	0.18790199999999999	0.153442	0.30135300000000004	0.10534	0.07204305
AT4G18210	0.0935454	0.11106500000000001	0.101492	0.09146950000000001	0.07115194999999999
AT4G18220	0.0615975	0.0699732	0.0928491	0.130579	0.0322958
AT4G18230	14.872	20.5369	18.6605	19.7819	15.44965
AT4G18240	2.9596299999999998	4.331980000000001	6.43768	7.79845	4.29913
AT4G18250	0.0	0.0	0.0115461	0.0046771	0.008979665
AT4G18255	0.0	0.0	0.0	0.0	0.0
AT4G18260	5.62766	8.212	9.76163	17.859	9.511980000000001
AT4G18270	3.0404	5.773	1.4970700000000001	6.1313699999999995	7.442310000000001
AT4G18280	11.2176	3.14681	4.56725	5.00441	4.965835
AT4G18282	0.0	0.0	0.0	0.0	0.0
AT4G18290	0.0	0.0	0.0	0.0	0.0
AT4G18300	1.5090700000000001	1.8367200000000001	7.2622100000000005	1.6856200000000001	1.833825
AT4G18310	0.08283860000000001	0.0	0.208298	0.0150315	0.07325165
AT4G18320	0.0	0.0	0.0	0.0	0.00591905
AT4G18330	0.00742471	0.0	0.107378	0.05697959999999999	0.007828845000000001
AT4G18335	2.74269	0.132379	21.144000000000002	0.0	0.13119940000000002
AT4G18340	7.11943	3.31837	14.7676	1.18584	13.909845
AT4G18350	0.8428969999999999	0.270401	41.7076	0.238788	0.129748
AT4G18360	0.965968	98.5417	1.37325	9.27312	35.74675
AT4G18370	0.399287	3.4054	1.34538	1.87178	2.5066625000000005
AT4G18372	6.20065	10.5319	7.715139999999999	12.9516	9.879
AT4G18375	0.43408199999999997	0.765782	0.400337	0.442616	0.5822655000000001
AT4G18380	84.2362	33.2925	27.6817	16.1403	39.1259
AT4G18390	0.0	0.012394200000000001	0.027676099999999995	0.0	0.049868949999999995
AT4G18395	0.272965	0.8321559999999999	0.68781	0.43990799999999997	0.42041950000000006
AT4G18400	3.55421	5.4092199999999995	9.94858	7.663539999999999	7.334065000000001
AT4G18410	0.0	0.0	0.0	0.0	0.0
AT4G18420	0.0	0.0	0.0	0.0	0.0
AT4G18422	0.0715815	0.372315	0.456592	0.0974498	0.52330855
AT4G18425	20.5038	2.6764799999999997	31.4585	2.70624	2.6336625000000002
AT4G18430	59.243	1.1540000000000001	0.818785	0.607484	14.317425
AT4G18440	11.1511	16.7565	16.1845	30.7343	13.292729999999999
AT4G18450	3.22092	0.192475	30.7506	0.223842	0.18190850000000003
AT4G18460	8.35779	14.6287	7.5300199999999995	8.7236	8.57167
AT4G18465	5.17406	11.9272	15.0969	13.5834	10.19099
AT4G18470	1.7956	1.42203	5.2009099999999995	5.069369999999999	1.92581
AT4G18480	2.3738	10.1242	6.16113	7.24378	6.70349
AT4G18490	0.5427	1.04572	0.382064	1.28093	0.828783
AT4G18500	0.518411	0.720816	0.25801399999999997	1.55195	0.7968994999999999
AT4G18501	2.26923	7.069210000000001	0.905007	5.68631	4.601765
AT4G18510	0.44900500000000004	2.3388400000000003	1.8359400000000001	0.717394	10.967184999999999
AT4G18520	0.521366	1.66257	1.27619	6.696269999999999	3.0301850000000004
AT4G18530	0.044032	1.44658	0.8897799999999999	4.2416	15.35215
AT4G18540	0.0	0.0	0.0	0.0	0.0
AT4G18550	13.7703	1.18919	12.4309	2.6425799999999997	0.8161735
AT4G18570	5.5361	4.98704	7.84178	15.915	10.036545
AT4G18580	16.9891	19.6461	23.2002	13.212	28.676699999999997
AT4G18590	19.8568	36.2613	24.531	51.437	40.064750000000004
AT4G18593	7.4706600000000005	15.9967	11.8022	27.623	16.662200000000002
AT4G18596	0.25921900000000003	0.245333	0.613008	0.181031	0.26852000000000004
AT4G18600	2.30024	3.87569	4.75699	8.0691	3.834525
AT4G18610	0.8272280000000001	1.5892700000000002	0.715639	2.0230799999999998	6.8972535
AT4G18620	0.0	0.0	0.0	0.0	0.1191245
AT4G18630	5.05058	0.233404	0.13305899999999998	0.222719	0.7348954999999999
AT4G18640	25.6483	2.52821	11.6984	26.881	4.012943
AT4G18650	0.044269499999999996	0.0219275	0.492435	0.0763652	0.061864499999999996
AT4G18660	0.0	0.0176912	0.0	0.09924939999999999	0.0122484
AT4G18670	17.3534	34.4263	5.8467	26.584	29.4313
AT4G18680	0.0	0.0	0.0	0.0	0.00964105
AT4G18690	0.0	0.0	0.0	0.0	0.012458
AT4G18692	0.0	0.0	0.0	0.0	0.0
AT4G18700	34.0808	37.650999999999996	73.5226	18.8496	27.22415
AT4G18710	116.836	104.65100000000001	99.3263	47.6728	118.9048
AT4G18720	0.289102	0.100707	0.2363	0.08822510000000001	0.5343155
AT4G18725	0.0	0.0	0.0	0.0	0.0
AT4G18730	239.372	467.01599999999996	158.32299999999998	729.815	446.94950000000006
AT4G18740	0.20594200000000001	0.2133	0.187146	0.16000999999999999	0.26182140000000004
AT4G18750	0.314046	0.9165409999999999	0.656701	2.0654	0.7607835000000001
AT4G18760	24.5196	52.1594	7.91258	44.5189	44.80465
AT4G18770	0.010517799999999999	0.024483099999999997	0.6799890000000001	0.214457	0.206676
AT4G18780	0.501983	3.65642	54.0728	15.2785	5.957217
AT4G18790	0.0175084	0.012860299999999998	0.0396546	0.0154643	0.025304725
AT4G18800	9.68257	34.7884	9.21729	21.8586	21.24835
AT4G18810	0.41671199999999997	0.08998810000000002	0.593856	0.0666977	0.09133250000000001
AT4G18815	0.0	0.0	0.0	0.0	0.0
AT4G18820	5.27188	19.6202	9.797939999999999	12.7636	8.653955
AT4G18823	0.0	0.0	0.0	0.0756806	0.0
AT4G18830	0.041650599999999996	0.154477	0.243959	0.408029	0.17667950000000002
AT4G18840	0.386773	0.847218	1.2415	2.5030799999999997	1.178611
AT4G18850	0.0	0.0	0.0	0.0	0.0430036
AT4G18860	0.0	0.0	0.0567019	0.0	0.0
AT4G18870	0.018401400000000002	0.0	0.0	0.0	0.0
AT4G18880	3.48231	2.66365	22.8703	1.04979	8.05246
AT4G18890	14.2652	12.0129	72.6841	15.8705	14.23925
AT4G18900	0.0176447	0.013600999999999999	0.0760841	0.00854734	0.0178584
AT4G18905	11.0875	19.802	19.1555	51.4739	21.079250000000002
